base failing checks: [26719, 26721, 26723]
  0/7273 live=0 (0s)
  400/7273 live=98 (53s)
  800/7273 live=184 (105s)
  1200/7273 live=271 (156s)
  1600/7273 live=369 (209s)
  2000/7273 live=457 (262s)
  2400/7273 live=547 (315s)
  2800/7273 live=652 (368s)
  3200/7273 live=753 (422s)
  3600/7273 live=857 (473s)
  4000/7273 live=957 (526s)
  4400/7273 live=1045 (578s)
