idx	deg	nvars	litbits	nmon	coefbits
263	2	32	296	25	320
264	4	27	24	405	54
265	4	7	6	113	14
266	2	10	24	55	57
267	2	19	16	25	21
268	2	29	24	21	28
269	2	22	6	253	12
270	4	33	24	664	57
271	4	18	25	171	37
272	2	30	26	34	54
273	4	25	6	489	14
274	2	15	16	20	24
275	2	20	6	28	6
276	1	4	15	4	20
277	2	8	27	17	33
278	4	9	16	21	27
279	2	4	19	10	30
280	4	7	28	44	40
281	4	10	6	55	12
282	4	40	296	526	628
283	4	18	24	190	55
284	2	27	6	31	7
285	2	14	6	19	8
286	1	20	6	20	10
287	4	50	296	778	604
288	2	49	24	36	44
289	4	14	5	3060	25
290	2	31	27	35	33
291	2	20	6	28	7
292	2	2	19	4	25
293	4	10	6	45	12
294	2	10	23	7	39
295	2	8	28	8	33
296	2	9	6	19	12
297	1	7	28	7	34
298	2	7	20	7	24
299	4	22	6	253	14
300	2	4	15	8	22
301	4	29	24	523	56
302	4	9	28	66	63
303	2	52	24	38	33
304	4	24	20	528	61
305	4	10	5	201	12
306	2	20	6	24	6
307	2	30	24	35	34
308	2	32	26	32	55
309	1	18	6	18	11
310	4	16	5	205	11
311	2	10	24	21	31
312	4	25	296	189	599
313	2	17	20	23	40
314	2	26	16	30	21
315	2	37	28	26	57
316	1	4	5	4	4
317	4	6	6	28	11
318	2	48	296	39	328
319	2	29	296	22	298
320	1	12	6	13	6
321	2	18	24	19	28
322	4	15	6	120	12
323	2	8	17	10	38
324	4	40	24	406	57
325	2	21	20	28	25
326	2	11	5	11	5
327	2	26	19	34	24
328	4	19	24	210	54
329	2	24	16	32	21
330	2	27	24	28	48
331	2	35	296	29	302
332	2	17	28	17	54
333	4	12	6	134	16
334	2	12	24	8	29
335	2	33	24	24	29
336	1	24	6	24	11
337	2	33	24	38	28
338	2	18	6	18	6
339	2	24	24	25	32
340	4	32	27	811	39
341	2	22	28	23	56
342	2	28	19	32	25
343	2	13	20	17	40
344	2	23	24	16	39
345	4	30	24	590	56
346	2	4	6	5	7
347	4	17	6	274	12
348	2	27	6	406	13
349	2	35	28	25	56
350	2	19	20	26	40
351	2	19	6	24	6
352	2	29	6	31	10
353	4	32	24	661	71
354	2	16	6	20	6
355	4	5	6	51	13
356	4	8	6	28	12
357	2	10	28	19	35
358	2	10	19	20	25
359	4	6	6	85	12
360	2	49	296	38	300
361	2	30	28	37	34
362	2	16	28	16	34
363	4	8	6	145	13
364	2	14	6	105	15
365	2	17	20	13	25
366	2	23	19	29	25
367	2	35	296	28	317
368	4	29	24	556	57
369	2	18	24	12	47
370	2	27	24	29	45
371	4	48	296	739	602
372	2	56	24	39	42
373	2	7	16	14	23
374	2	14	21	9	38
375	2	18	296	14	306
376	2	40	24	28	29
377	2	19	16	26	20
378	2	24	6	325	12
379	4	13	5	105	15
380	2	2	5	5	6
381	2	18	24	16	32
382	2	19	296	16	324
383	2	54	24	38	30
384	2	48	24	34	48
385	4	5	6	51	14
386	2	7	6	36	12
387	4	20	24	105	70
388	1	11	28	12	33
389	2	46	24	33	45
390	2	12	27	11	54
391	2	15	16	20	24
392	4	29	6	593	13
393	4	13	6	339	13
394	2	23	24	24	31
395	2	15	16	19	22
396	2	22	24	23	48
397	4	7	6	99	13
398	2	32	24	36	47
399	2	26	6	351	14
400	1	6	23	6	48
401	2	28	24	27	49
402	2	11	6	23	7
403	2	9	20	18	27
404	8	22	6	20401	26
405	2	44	24	32	47
406	2	5	28	11	35
407	2	24	26	29	32
408	2	38	23	27	47
409	8	11	5	1001	25
410	4	12	16	120	41
411	2	28	24	32	40
412	2	23	28	29	34
413	2	16	24	17	30
414	2	5	17	11	23
415	2	14	28	14	34
416	2	14	20	13	25
417	2	9	24	45	72
418	4	7	5	36	12
419	2	23	24	23	32
420	2	17	28	23	33
421	4	5	5	27	11
422	2	19	28	19	34
423	2	26	24	27	48
424	2	11	5	8	6
425	2	22	6	28	6
426	2	13	20	14	25
427	4	11	6	253	18
428	2	9	14	8	20
429	4	13	16	153	41
430	2	9	15	9	20
431	2	15	24	15	30
432	2	13	27	13	32
433	2	26	14	34	21
434	2	14	296	12	316
435	2	9	28	11	46
436	2	22	6	25	8
437	4	48	24	630	83
438	2	23	24	16	44
439	4	42	24	465	58
440	4	10	24	45	57
441	4	33	6	933	13
442	2	8	24	5	51
443	2	33	24	35	32
